153,189
122,198
96,211
88,225
84,226
77,226
77,218
84,209
73,218
66,219
64,215
63,207
62,197
65,185
71,177
80,171
84,162
89,154
95,149
99,139
101,129
106,119
114,110
110,86
116,102
120,105
122,87
128,94
129,104
127,114
126,120
113,127
106,134
103,135
102,137
127,119
133,110
141,108
150,106
158,109
168,116
180,121
198,124
212,129
222,136
224,144
237,149
253,153
267,166
272,174
286,178
302,187
308,196
317,205
332,211
342,221
392,224
409,222
426,220
434,217
456,216
473,213
487,217
495,220
532,231
535,240
540,234
545,237
550,240
555,251
558,265
560,276
562,291
563,296
564,304
564,312
565,322
564,327
564,334
565,341
565,344
567,354
567,362
567,376
567,381
566,387
565,392
564,397
563,406
562,407
559,411
555,400
546,373
543,352
549,334
552,317
554,305
554,296
554,283
553,273
550,260
543,247
537,236
539,236
548,239
550,241
550,244
554,250
559,262
559,271
559,279
562,290
563,304
562,313
565,326
567,343
568,353
567,357
569,375
567,384
565,392
561,403
560,405
557,414
556,416
556,427
552,432
551,439
552,446
553,447
553,450
552,456
551,463
551,466
552,475
552,478
552,482
552,488
551,492
551,498
550,501
547,505
545,508
543,512
543,519
544,522
550,529
548,531
545,535
544,537
540,542
540,542
535,542
531,542
524,543
520,543
512,541
512,541
511,533
513,531
519,525
521,521
525,516
530,514
530,510
531,506
532,491
533,488
535,477
538,468
538,456
539,449
540,443
530,430
524,407
521,392
518,382
516,375
510,365
507,358
504,354
496,345
485,336
474,329
467,324
462,324
455,332
453,335
456,337
459,340
460,347
461,348
463,356
463,357
467,363
469,366
473,376
473,376
474,382
477,392
479,402
482,406
482,406
484,421
490,434
488,444
490,452
490,452
490,455
489,471
486,479
483,492
483,498
475,507
464,518
458,529
465,532
472,533
480,533
485,533
492,532
496,522
495,516
492,510
502,502
505,496
507,484
506,481
509,467
511,462
514,439
514,432
522,410
512,435
515,451
517,455
524,466
524,466
527,472
527,472
527,472
531,468
534,463
535,460
540,446
531,432
526,411
526,411
519,389
518,377
505,357
495,344
483,335
469,325
461,324
457,326
447,333
444,335
432,342
428,345
420,349
399,366
395,362
376,365
359,361
349,363
339,365
323,366
322,366
299,365
295,361
292,359
296,352
297,339
300,330
299,325
295,348
288,359
287,367
284,377
282,397
281,403
280,412
280,421
280,424
280,434
284,444
286,451
286,454
287,456
289,475
290,480
291,485
291,492
291,494
290,495
290,495
282,497
277,494
277,484
276,468
280,449
276,433
279,454
276,463
276,474
279,489
279,490
278,499
292,493
293,495
284,504
282,505
279,506
279,507
278,516
283,518
288,522
285,528
285,528
283,530
278,533
278,533
274,533
269,533
269,533
268,532
263,523
268,518
271,513
273,507
277,496
271,515
266,523
264,529
264,530
266,534
267,538
267,540
266,547
264,547
257,549
245,549
237,549
229,548
226,546
225,543
230,533
240,522
251,511
258,502
258,493
262,479
258,468
260,451
260,451
257,435
255,426
257,413
257,401
257,388
254,375
252,357
249,342
246,330
244,322
241,328
240,330
240,337
239,339
239,339
231,333
229,319
221,303
220,298
219,284
218,282
216,265
214,246
208,226
198,204
189,193
188,191
185,187
185,187
188,188
192,200
197,206
197,208
203,224
206,232
209,241
210,245
211,257
212,264
212,270
212,273
212,279
212,280
212,281
208,273
206,269
199,254
194,244
192,239
192,237
188,228
184,217
169,201
164,195
159,188
158,187
158,179
154,186
148,191
